Env             Server                              Port   Service              Status    
DT_AZ1          sdpappb1016.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1016.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1016.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpja8jlep8.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpja8jlep8.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpja8jlep8.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpja8jlep8.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpja8jlep8.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpja8jlep8.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpja8jlep8.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1017.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1017.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1017.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1017.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1017.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1017.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1017.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1018.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1018.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1018.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1018.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1018.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1018.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1018.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1020.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1020.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1020.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1020.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1020.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1020.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1020.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1021.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1021.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1021.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1021.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1021.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1021.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1021.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1023.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1023.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1023.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1023.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1023.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1023.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1023.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1026.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1026.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1026.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1026.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1026.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1026.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1026.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1027.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1027.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1027.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1027.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1027.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1027.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1027.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1029.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1029.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1029.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1029.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1029.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1029.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1029.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1030.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1030.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1030.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1030.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1030.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1030.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1030.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1031.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1031.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1031.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1031.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1031.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1031.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
